county_fips,cdd_annual,hdd_annual
01001,2513,2003
01003,3055,1355
01005,2526,1811
01007,2294,2212
01009,2040,2544
01011,2431,1925
01013,2570,1842
01015,1964,2473
01017,2014,2313
01019,1858,2681
01021,2243,2165
01023,2596,1919
01025,2622,1789
01027,1817,2520
01029,1735,2563
01031,2681,1763
01033,2008,2700
01035,2632,1724
01037,2082,2282
01039,2702,1715
01041,2529,1894
01043,1996,2618
01045,2697,1702
01047,2682,1929
01049,1579,2972
01051,2365,2057
01053,2699,1618
01055,2001,2579
01057,2162,2476
01059,1896,2752
01061,2773,1677
01063,2501,2122
01065,2549,2080
01067,2691,1668
01069,2837,1589
01071,1742,2912
01073,2231,2325
01075,2228,2453
01077,1951,2775
01079,1951,2755
01081,2226,2095
01083,1995,2783
01085,2639,1903
01087,2413,1961
01089,1959,2767
01091,2691,1938
01093,1973,2675
01095,1947,2636
01097,3132,1348
01099,2644,1732
01101,2505,1949
01103,2026,2673
01105,2530,2056
01107,2369,2250
01109,2547,1866
01111,1873,2450
01113,2420,1922
01115,2069,2478
01117,2185,2286
01119,2587,2024
01121,2083,2392
01123,2059,2303
01125,2294,2253
01127,2130,2472
01129,2668,1729
01131,2695,1836
01133,1886,2718
04001,747,5373
04003,1933,2629
04005,1167,4699
04007,1868,3145
04009,2109,2821
04011,1301,3717
04012,4560,1295
04013,4208,1430
04015,2779,2749
04017,1078,4884
04019,3309,1675
04021,3685,1670
04023,1742,2646
04025,2003,3201
04027,4551,1122
05001,2387,2370
05003,2568,2042
05005,1580,3302
05007,1774,3248
05009,1543,3395
05011,2432,2086
05013,2313,2184
05015,1575,3409
05017,2643,2067
05019,2219,2426
05021,1935,3008
05023,1832,2893
05025,2303,2263
05027,2353,2102
05029,2108,2748
05031,1996,2899
05033,2115,2864
05035,2313,2546
05037,2134,2747
05039,2193,2383
05041,2461,2226
05043,2488,2122
05045,2085,2785
05047,2019,2875
05049,1545,3300
05051,2165,2562
05053,2218,2438
05055,1947,2959
05057,2271,2268
05059,2236,2464
05061,2123,2493
05063,1734,2993
05065,1572,3211
05067,1916,2931
05069,2303,2373
05071,1837,2963
05073,2513,2008
05075,1805,3029
05077,2341,2473
05079,2422,2218
05081,2481,2112
05083,2123,2702
05085,2216,2559
05087,1574,3340
05089,1587,3346
05091,2637,1931
05093,2040,2823
05095,2308,2480
05097,2062,2628
05099,2212,2305
05101,1409,3459
05103,2228,2283
05105,2171,2656
05107,2402,2393
05109,2126,2551
05111,2047,2850
05113,1817,2792
05115,1877,2908
05117,2220,2512
05119,2202,2586
05121,1801,3102
05123,2260,2567
05125,2164,2576
05127,2034,2704
05129,1479,3413
05131,2285,2617
05133,2254,2346
05135,1595,3227
05137,1591,3161
05139,2428,2029
05141,1686,3124
05143,1800,3147
05145,2064,2696
05147,2092,2713
05149,2138,2661
06001,1046,2330
06003,176,7290
06005,1523,3328
06007,1862,2824
06009,1548,3263
06011,2043,2488
06013,1339,2301
06015,327,4586
06017,967,4342
06019,1202,3775
06021,1884,2818
06023,404,3838
06025,4955,844
06027,2353,3123
06029,2251,2576
06031,2548,2040
06033,1233,3406
06035,451,6247
06037,1589,2349
06039,1269,3628
06041,191,2798
06043,1200,3900
06045,601,3474
06047,1956,2225
06049,448,6288
06051,203,7152
06053,818,2606
06055,1225,2613
06057,778,4777
06059,1244,1526
06061,889,4395
06063,409,6075
06065,3446,1545
06067,1962,2141
06069,1278,2821
06071,3366,2074
06073,1690,2019
06075,160,2622
06077,1903,2051
06079,1119,2520
06081,220,2695
06083,621,2642
06085,953,2618
06087,360,2579
06089,1220,4101
06091,333,6236
06093,515,5716
06095,1526,2157
06097,456,2784
06099,1832,2324
06101,2248,2073
06103,1679,3264
06105,790,4589
06107,1053,4113
06109,593,5310
06111,861,2928
06113,1912,2228
06115,1926,2676
08001,957,5519
08003,126,7371
08005,900,5577
08007,127,7327
08009,1245,4622
08011,1391,4695
08013,215,7034
08014,901,5298
08015,0,9457
08017,1136,5075
08019,0,9696
08021,13,8549
08023,38,8083
08025,1210,5030
08027,38,7976
08029,448,6482
08031,998,5247
08033,116,7551
08035,460,6116
08037,19,8988
08039,725,5821
08041,619,5779
08043,251,6699
08045,216,7405
08047,10,8855
08049,0,9760
08051,0,9381
08053,0,10369
08055,335,6245
08057,0,10034
08059,326,6410
08061,1254,4892
08063,1070,5134
08065,0,10810
08067,197,6942
08069,120,7695
08071,771,5277
08073,954,5414
08075,945,5510
08077,629,6112
08079,0,10083
08081,361,7198
08083,625,5823
08085,525,6141
08087,937,5525
08089,1320,4733
08091,85,7878
08093,6,9368
08095,1015,5358
08097,0,9664
08099,1383,4591
08101,1104,4857
08103,331,7097
08105,13,8542
08107,42,8791
08109,6,8822
08111,0,10798
08113,230,7038
08115,975,5401
08117,0,10467
08119,44,8349
08121,924,5506
08123,844,5718
08125,1097,5148
09001,853,4903
09003,765,5305
09005,528,5866
09007,713,5186
09009,747,5185
09011,662,5160
09013,593,5543
09015,577,5526
10001,1312,3956
10003,1186,4187
10005,1281,3770
12001,3158,1042
12003,3077,1227
12005,3099,1281
12007,3114,1076
12009,3977,502
12011,4650,163
12013,3006,1385
