ZIP,COUNTY,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,0.0,1.0,0.0,1.0
01001,25013,1.0,1.0,1.0,1.0
01002,25015,0.9926154902970977,0.9988597491448119,0.9974293059125964,0.9933087737764078
01002,25011,0.007384509702902284,0.0011402508551881414,0.002570694087403599,0.006691226223592211
01003,25015,1.0,1.0,1.0,1.0
01004,25015,1.0,1.0,1.0,1.0
01005,25027,1.0,1.0,1.0,1.0
01007,25015,1.0,1.0,1.0,1.0
01008,25013,0.8571428571428571,0.9523809523809523,0.9444444444444444,0.8628389154704944
01008,25003,0.14285714285714285,0.047619047619047616,0.05555555555555555,0.1371610845295056
01009,25013,1.0,1.0,1.0,1.0
01010,25013,0.9733191035218783,1.0,0.0,0.974025974025974
01010,25027,0.026680896478121666,0.0,0.0,0.025974025974025976
01011,25013,0.8925373134328358,0.9791666666666666,1.0,0.899171270718232
01011,25015,0.10746268656716418,0.020833333333333332,0.0,0.10082872928176796
01012,25015,1.0,1.0,1.0,1.0
01013,25013,1.0,1.0,1.0,1.0
01014,25013,1.0,1.0,1.0,1.0
01020,25013,1.0,1.0,1.0,1.0
01021,25013,1.0,1.0,1.0,1.0
01022,25013,1.0,1.0,1.0,1.0
01026,25003,0.046632124352331605,0.0,0.0,0.0432
01026,25015,0.9533678756476683,1.0,1.0,0.9568
01027,25015,1.0,1.0,1.0,1.0
01028,25013,1.0,1.0,1.0,1.0
01029,25003,1.0,0.0,1.0,1.0
01030,25013,1.0,1.0,1.0,1.0
01031,25027,0.998324958123953,0.9411764705882353,1.0,0.9967793880837359
01031,25015,0.0016750418760469012,0.058823529411764705,0.0,0.00322061191626409
01032,25015,1.0,1.0,1.0,1.0
01033,25015,0.9977279182050554,1.0,1.0,0.9978779840848806
01033,25013,0.002272081794944618,0.0,0.0,0.002122015915119363
01034,25013,1.0,1.0,1.0,1.0
01035,25015,1.0,1.0,1.0,1.0
01036,25013,1.0,1.0,1.0,1.0
01037,25027,1.0,1.0,0.0,1.0
01038,25015,1.0,1.0,1.0,1.0
01039,25011,0.18903318903318903,0.0,0.09090909090909091,0.18231292517006803
01039,25015,0.810966810966811,1.0,0.9090909090909091,0.817687074829932
01040,25013,0.99789744188763,1.0,1.0,0.9983012457531144
01040,25015,0.0021025581123700504,0.0,0.0,0.0016987542468856172
01041,25013,1.0,1.0,1.0,1.0
01050,25015,0.851792828685259,0.9375,0.9259259259259259,0.8543913713405239
01050,25013,0.14820717131474104,0.0625,0.07407407407407407,0.14560862865947613
01053,25015,1.0,1.0,1.0,1.0
01054,25011,1.0,1.0,1.0,1.0
01056,25013,1.0,1.0,1.0,1.0
01057,25013,1.0,1.0,1.0,1.0
01059,25015,0.0,1.0,0.0,1.0
01060,25015,1.0,1.0,1.0,1.0
01061,25015,1.0,1.0,1.0,1.0
01062,25015,1.0,1.0,1.0,1.0
01063,25015,0.0,1.0,1.0,1.0
01066,25015,1.0,1.0,1.0,1.0
01068,25027,1.0,1.0,1.0,1.0
01069,25013,0.9967080273486959,1.0,1.0,0.9971861471861472
01069,25015,0.0032919726513041276,0.0,0.0,0.002813852813852814
